,상품이름,무게,칼로리,지방,탄수화물,단백질
0,동의 훈제란,1개 (35g)당,54kcal,3.30g,0.40g,5.50g
1,호유란,1개 (50g)당,59kcal,3.50g,0.78g,6.00g
2,든든하지롱 계란김밥,1줄 (290g)당,483kcal,15.00g,73.00g,14.00g
3,쫀득한 마카롱,1봉지 3조각 (70g)당,295kcal,14.00g,42.00g,3.00g
4,바로먹는 꿀고구마,1인분 (130g)당,220kcal,0.20g,53.20g,1.40g
5,참치마요 삼각김밥,1개 (115g)당,219kcal,7.00g,453.00g,8.00g
6,참치마요,1개 (105g)당,189kcal,4.10g,34.00g,4.00g
7,토핑2배 참치마요,1개 (110g)당,209kcal,5.00g,35.00g,6.00g
8,스팸김치볶음밥 삼각김밥,100g당,180kcal,4.40g,30.00g,5.00g
9,데리야끼 닭꼬치로 야식어때?,1인분 (120g)당,214kcal,10.00g,17.00g,14.00g
10,햄에그샌드위치,1인분 (128g)당,260kcal,12.00g,30.00g,8.00g
11,크렌베리스콘,1회 (50g)당,222kcal,9.00g,30.00g,3.00g
12,초코블랑,1회 (48g)당,217kcal,9.00g,31.00g,3.00g
13,참치마요김밥,1인분 (215g)당,377kcal,13.00g,52.00g,13.00g
14,땡초김밥,1줄 (225g)당,350kcal,10.00g,53.00g,12.00g
15,키토 고추장,1큰술 (15ml)당,21kcal,0.81g,3.24g,1.14g
16,콘소메맛 팝콘,1봉지 (60g)당,270kcal,12.00g,39.00g,6.00g
17,크랩토핑 유부초밥,1팩 (250g)당,438kcal,10.00g,75.00g,12.00g
18,닭가슴살샌드위치,1인분 (207g)당,386kcal,14.00g,51.00g,14.00g
19,벨기에 초코와플,1개 (95g)당,371kcal,15.00g,53.00g,6.00g
20,하이프로틴 초코,1인분 (250ml)당,150kcal,3.30g,14.00g,15.00g
21,김치제육,1회 (375g)당,699kcal,15.00g,113.00g,28.00g
22,감자빵,1봉지 (106g)당,267kcal,7.00g,45.00g,6.00g
23,가쓰오 올린 계란말이,1회 (50g)당,60kcal,3.50g,4.00g,4.00g
24,스팸김치볶음밥,100g당,180kcal,4.40g,30.00g,5.00g
25,간이 되어있는 반숙계란,1회 (50g)당,59kcal,3.56g,0.78g,6.05g
26,쌀떡볶이,100g당,535kcal,29.00g,64.00g,5.00g
27,딸기샌드위치,1인분 (135g)당,296kcal,12.00g,42.00g,5.00g
28,리코타치즈샐러드,1통 (160g)당,197kcal,13.00g,14.00g,6.00g
29,소고기 고추장 삼각김밥,1개 (115g)당,184kcal,1.60g,37.00g,6.00g
30,동의훈제란,1개 (35g)당,54kcal,3.30g,0.40g,5.50g
31,오란다,1봉지 (120g)당,575kcal,21.00g,86.00g,11.00g
32,다이제볼,1인분 (42g)당,229kcal,13.00g,25.00g,3.00g
33,쫄깃쫄깃 훈제 닭다리,100g당,135kcal,3.80g,6.00g,18.00g
34,쫀득한 딸기 마카롱,1봉지 (74g)당,335kcal,15.00g,46.00g,4.00g
35,우삼겹 덮밥,100g당,728kcal,28.00g,94.00g,25.00g
36,믹스너트,1인분 (40g)당,247kcal,19.00g,10.00g,9.00g
37,퀴노아바질미니샐러드,1팩 (138g)당,111kcal,2.10g,16.00g,7.00g
38,초코쿠키,1인분 (20g)당,95kcal,5.00g,13.00g,1.00g
39,속이꽉찬 계란샌드위치,1/2인분 (155g)당,394kcal,22.00g,36.00g,13.00g
40,전주비빔 삼각김밥,1회 (105g)당,180kcal,3.60g,33.00g,4.00g
41,초코크로와상,1개 (85g)당,370kcal,18.00g,45.00g,8.00g
42,햄이 꽉찬 샌드위치,1인분 (125g)당,251kcal,11.00g,28.00g,10.00g
43,토핑2배 전주비빔,1개 (110g)당,176kcal,2.20g,35.00g,4.00g
44,부드러운 계란 김밥,1총 (230g)당,330kcal,6.00g,57.00g,12.00g
45,깍두기 볶음밥,1인분 (150g)당,249kcal,3.70g,48.00g,6.00g
46,리얼너츠,1봉지 (25g)당,118kcal,9.70g,6.20g,3.30g
47,불타는 어묵김밥,1회 (210g)당,333kcal,5.00g,60.00g,12.00g
48,돼지고기덮밥,1인분 (395g)당,598kcal,10.00g,100.00g,27.00g
49,고구마빵,1인분 (105g)당,236kcal,8.00g,34.00g,7.00g
50,탕수육&깐풍치킨,1인분 (415g)당,863kcal,31.00g,119.00g,27.00g
51,에그가먼저닭 미니샐러드,1인분 (137g)당,156kcal,12.00g,5.00g,7.00g
52,이건가요? 샌드위치,1회 (190g)당,405kcal,13.00g,61.00g,11.00g
53,B.L.T 비엘티 샌드위치,1팩 (130g)당,230kcal,10.00g,25.00g,10.00g
54,블루베리식빵,100g당,345kcal,9.00g,58.00g,7.00g
55,새우튀김롤,1인분 (231g)당,498kcal,22.00g,64.00g,11.00g
56,왕소라형 과자,1/4.5봉지 (30g)당,130kcal,3.50g,22.00g,2.00g
57,고등어,100g당,160kcal,15.00g,3.00g,16.00g
58,리챔참치마요,1인분 (228g)당,397kcal,13.00g,55.00g,15.00g
59,센베이과자,1회 (30g)당,127kcal,0.30g,26.70g,2.40g
60,알래스카연어샌드위치,1개 (155g)당,338kcal,14.00g,42.00g,10.00g
61,딸기샌드위치,1회 (150g)당,362kcal,14.00g,51.00g,8.00g
